,mll_annotation,prediction,ID,im_tiffname
0,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,103.TIF
1,typical lymphocyte,typical lymphocyte,UGU,079.TIF
2,myeloblast,myeloblast,SBY,058.TIF
3,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,189.TIF
4,typical lymphocyte,typical lymphocyte,BHS,215.TIF
5,typical lymphocyte,typical lymphocyte,SBY,335.TIF
6,typical lymphocyte,typical lymphocyte,BHS,445.TIF
7,atypical promyelocyte,atypical promyelocyte,PKC,045.TIF
8,reactive lymphocyte,myeloblast,UGU,357.TIF
9,myeloblast,myeloblast,SBY,465.TIF
10,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,140.TIF
11,typical lymphocyte,typical lymphocyte,UVT,349.TIF
12,myeloblast,myeloblast,SBY,001.TIF
13,myeloblast,myeloblast,SBY,017.TIF
14,monocyte,monocyte,UVT,299.TIF
15,reactive lymphocyte,myeloblast,SBY,326.TIF
16,typical lymphocyte,typical lymphocyte,SBY,243.TIF
17,promyelocyte,atypical promyelocyte,PKC,255.TIF
18,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,095.TIF
19,atypical promyelocyte,myeloblast,PKC,035.TIF
20,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,459.TIF
21,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,101.TIF
22,typical lymphocyte,typical lymphocyte,UVT,314.TIF
23,other,smudge cell,UVT,168.TIF
24,myeloblast,myeloblast,SBY,086.TIF
25,reactive lymphocyte,metamyelocyte,PKC,373.TIF
26,other,normo,PKC,424.TIF
27,typical lymphocyte,typical lymphocyte,PKC,300.TIF
28,atypical promyelocyte,basophil granulocyte,PKC,076.TIF
29,reactive lymphocyte,typical lymphocyte,UGU,205.TIF
30,reactive lymphocyte,large granulated lymphocyte,UGU,481.TIF
31,atypical promyelocyte,atypical promyelocyte,BHS,482.TIF
32,atypical promyelocyte,atypical promyelocyte,BHS,431.TIF
33,atypical promyelocyte,atypical promyelocyte,PKC,269.TIF
34,myeloblast,myeloblast,UVT,004.TIF
35,other,atypical promyelocyte,BHS,267.TIF
36,typical lymphocyte,typical lymphocyte,SBY,130.TIF
37,other,neutrophil granulocyte (segmented),BHS,112.TIF
38,other,large granulated lymphocyte,UGU,047.TIF
39,other,other,BHS,211.TIF
40,typical lymphocyte,typical lymphocyte,UGU,045.TIF
41,monocyte,neutrophil granulocyte (band),PKC,030.TIF
42,large granulated lymphocyte,large granulated lymphocyte,UGU,191.TIF
43,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,277.TIF
44,myeloblast,myeloblast,PKC,258.TIF
45,reactive lymphocyte,typical lymphocyte,UGU,414.TIF
46,atypical promyelocyte,atypical promyelocyte,BHS,193.TIF
47,other,smudge cell,UVT,209.TIF
48,myeloblast,mononucleosis,SBY,172.TIF
49,other,smudge cell,BHS,486.TIF
50,myeloblast,myeloblast,UVT,446.TIF
51,typical lymphocyte,typical lymphocyte,UGU,184.TIF
52,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,080.TIF
53,atypical promyelocyte,atypical promyelocyte,PKC,283.TIF
54,reactive lymphocyte,typical lymphocyte,UVT,123.TIF
55,monocyte,monocyte,UVT,301.TIF
56,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,420.TIF
57,myeloblast,myeloblast,SBY,403.TIF
58,myeloblast,myeloblast,SBY,271.TIF
59,myeloblast,mononucleosis,UVT,242.TIF
60,promyelocyte,atypical promyelocyte,PKC,220.TIF
61,large granulated lymphocyte,large granulated lymphocyte,UVT,382.TIF
62,myeloblast,myeloblast,UVT,334.TIF
63,typical lymphocyte,typical lymphocyte,UVT,126.TIF
64,monocyte,metamyelocyte,PKC,019.TIF
65,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,468.TIF
66,atypical promyelocyte,atypical promyelocyte,BHS,091.TIF
67,large granulated lymphocyte,large granulated lymphocyte,UGU,490.TIF
68,typical lymphocyte,typical lymphocyte,SBY,330.TIF
69,monocyte,reactive lymphocyte,UGU,040.TIF
70,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,311.TIF
71,monocyte,monocyte,SBY,035.TIF
72,typical lymphocyte,plasma cell,BHS,479.TIF
73,metamyelocyte,neutrophil granulocyte (band),PKC,395.TIF
74,monocyte,monocyte,PKC,495.TIF
75,other,other,SBY,384.TIF
76,myeloblast with long auer rod,myeloblast,UGU,302.TIF
